,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
Fcgrt,0,1.762555788,0.877,0.023,0,1,Fcgrt
Emp3,0,1.756197465,0.947,0.053,0,1,Emp3
Edn3,0,1.721746753,0.717,0.011,0,1,Edn3
Tcn2,0,1.670437631,0.738,0.028,0,1,Tcn2
Bmp7,0,1.660143571,0.802,0.021,0,1,Bmp7
Fmo1,0,1.627291266,0.706,0.052,0,1,Fmo1
Fbln5,0,1.626171022,0.674,0.05,0,1,Fbln5
Foxc1,0,1.605459474,0.92,0.019,0,1,Foxc1
Sod3,0,1.573063223,0.615,0.035,0,1,Sod3
Cyp1b1,0,1.559602892,0.69,0.015,0,1,Cyp1b1
Pdgfra,0,1.553395289,0.759,0.016,0,1,Pdgfra
Rcn3,0,1.543989938,0.781,0.017,0,1,Rcn3
Sepp1,0,1.534325548,0.797,0.044,0,1,Sepp1
Mxra8,0,1.529405983,0.722,0.03,0,1,Mxra8
Slc1a5,0,1.517297968,0.572,0.021,0,1,Slc1a5
Crabp2,0,1.512306017,0.551,0.017,0,1,Crabp2
Serpinh1,0,1.5046973,0.872,0.02,0,1,Serpinh1
Tfpi,0,1.47994388,0.797,0.057,0,1,Tfpi
Slc13a3,0,1.470961256,0.684,0.015,0,1,Slc13a3
Gpr182,0,1.470375715,0.642,0.031,0,1,Gpr182
Zfp36,0,1.468293838,0.615,0.037,0,1,Zfp36
Gpx8,0,1.467154956,0.872,0.07,0,1,Gpx8
Aox3,0,1.443806021,0.647,0.006,0,1,Aox3
Neat1,0,1.404864257,0.738,0.058,0,1,Neat1
Itih2,0,1.394939801,0.701,0.006,0,1,Itih2
Omd,0,1.378190818,0.588,0.01,0,1,Omd
Vstm4,0,1.376995721,0.62,0.012,0,1,Vstm4
Gstm2,0,1.358509308,0.797,0.026,0,1,Gstm2
S100a11,0,1.357281413,0.989,0.063,0,1,S100a11
Mgst1,0,1.354972803,0.674,0.014,0,1,Mgst1
Bmp6,0,1.328578959,0.759,0.005,0,1,Bmp6
Vamp5,0,1.312417878,0.845,0.012,0,1,Vamp5
Dab2,0,1.275006295,0.717,0.045,0,1,Dab2
Hmgcs2,0,1.262787028,0.535,0.006,0,1,Hmgcs2
Tbx18,0,1.240109729,0.733,0.004,0,1,Tbx18
Plscr2,0,1.217995477,0.578,0.002,0,1,Plscr2
Nfe2l2,0,1.20360106,0.636,0.027,0,1,Nfe2l2
Il13ra1,0,1.202152498,0.567,0.032,0,1,Il13ra1
Pon2,0,1.19936952,0.674,0.041,0,1,Pon2
Gng11,0,1.18770673,0.765,0.022,0,1,Gng11
Ifitm1,0,1.17959363,0.551,0.008,0,1,Ifitm1
Kdelr3,0,1.172621627,0.481,0.009,0,1,Kdelr3
Zic1,0,1.156251109,0.904,0.008,0,1,Zic1
Mdk,0,1.148421189,0.759,0.067,0,1,Mdk
Col1a1,0,1.134940824,0.893,0.004,0,1,Col1a1
Myl9,0,1.108380624,0.722,0.027,0,1,Myl9
Zic4,0,1.105719612,0.754,0.004,0,1,Zic4
Lama1,0,1.102067489,0.706,0.01,0,1,Lama1
Slc38a3,0,1.098905092,0.652,0.026,0,1,Slc38a3
Nid1,0,1.094068978,0.588,0.008,0,1,Nid1
Slc7a2,0,1.073714855,0.717,0.024,0,1,Slc7a2
Zfp36l1,0,1.05953962,0.947,0.03,0,1,Zfp36l1
Enpp1,0,1.059072117,0.69,0.017,0,1,Enpp1
C1qtnf2,0,1.050688129,0.652,0.046,0,1,C1qtnf2
Angpt2,0,1.046162555,0.497,0.021,0,1,Angpt2
Tm4sf1,0,1.045951448,0.519,0.026,0,1,Tm4sf1
Ranbp3l,0,1.037359139,0.652,0.012,0,1,Ranbp3l
Tspo,0,1.030977551,0.668,0.03,0,1,Tspo
Mpzl2,0,1.010301567,0.444,0.006,0,1,Mpzl2
Bmp4,0,0.998640237,0.647,0.021,0,1,Bmp4
Cyba,0,0.986921791,0.749,0.015,0,1,Cyba
Tmem119,0,0.980474861,0.594,0.005,0,1,Tmem119
Tnfrsf1a,0,0.977418968,0.599,0.015,0,1,Tnfrsf1a
Srgn,0,0.972782857,0.561,0.015,0,1,Srgn
Clic1,0,0.969243988,0.679,0.055,0,1,Clic1
Asgr1,0,0.966729288,0.46,0.007,0,1,Asgr1
Notum,0,0.962277689,0.567,0.009,0,1,Notum
Pdgfrb,0,0.958846814,0.765,0.031,0,1,Pdgfrb
Olfml1,0,0.953856652,0.465,0.01,0,1,Olfml1
Eva1b,0,0.948148469,0.658,0.016,0,1,Eva1b
Pdgfrl,0,0.936991231,0.422,0.01,0,1,Pdgfrl
Vim,0,0.927816818,0.663,0.053,0,1,Vim
Renbp,0,0.925558866,0.535,0.016,0,1,Renbp
Col3a1,0,0.921149967,0.439,0.002,0,1,Col3a1
Mmp14,0,0.918272922,0.626,0.014,0,1,Mmp14
Col4a5,0,0.916382861,0.578,0.004,0,1,Col4a5
Lama2,0,0.908650475,0.684,0.053,0,1,Lama2
Angptl4,0,0.895591381,0.39,0.014,0,1,Angptl4
Fbln7,0,0.894634182,0.551,0.036,0,1,Fbln7
Tmem45a,0,0.892582687,0.663,0.01,0,1,Tmem45a
Abca9,0,0.874755246,0.476,0.012,0,1,Abca9
Cd248,0,0.872845847,0.61,0.032,0,1,Cd248
Rarres2,0,0.865356502,0.594,0.012,0,1,Rarres2
Eya2,0,0.858468206,0.508,0.013,0,1,Eya2
Ptgdr,0,0.840948258,0.406,0.01,0,1,Ptgdr
Lamc3,0,0.82997418,0.556,0.004,0,1,Lamc3
Oaf,0,0.793846608,0.54,0.016,0,1,Oaf
Slc16a12,0,0.793715791,0.642,0.014,0,1,Slc16a12
Lamb2,0,0.790819773,0.652,0.027,0,1,Lamb2
Foxd1,0,0.788732572,0.674,0.002,0,1,Foxd1
Lrrk1,0,0.774820295,0.738,0.006,0,1,Lrrk1
Cgnl1,0,0.764194152,0.834,0.047,0,1,Cgnl1
Rbpms,0,0.745322907,0.604,0.039,0,1,Rbpms
Hspb1,0,0.727305508,0.674,0.022,0,1,Hspb1
Col13a1,0,0.719046505,0.551,0.009,0,1,Col13a1
Wfdc1,0,0.711658188,0.439,0.011,0,1,Wfdc1
Ppic,0,0.707046097,0.396,0.015,0,1,Ppic
Fgl2,0,0.703647367,0.396,0.019,0,1,Fgl2
C2,0,0.701833522,0.299,0.006,0,1,C2
Mrc2,0,0.695542653,0.652,0.023,0,1,Mrc2
Pear1,0,0.693598339,0.599,0.008,0,1,Pear1
C1qtnf7,0,0.684692121,0.422,0.018,0,1,C1qtnf7
Glipr2,0,0.684289667,0.374,0.01,0,1,Glipr2
Aspa,0,0.680778934,0.39,0.009,0,1,Aspa
Slc6a12,0,0.676314466,0.396,0.001,0,1,Slc6a12
Wnt6,0,0.674985458,0.38,0.015,0,1,Wnt6
Alx3,0,0.6629153,0.487,0.001,0,1,Alx3
LOC100861618,0,0.659618406,0.701,0.02,0,1,LOC100861618
Fzd2,0,0.659081844,0.674,0.014,0,1,Fzd2
Axl,0,0.656590135,0.631,0.021,0,1,Axl
Cxcl16,0,0.654926353,0.385,0.014,0,1,Cxcl16
Col4a6,0,0.624781467,0.449,0.004,0,1,Col4a6
Sqrdl,0,0.6114314,0.326,0.011,0,1,Sqrdl
Uaca,0,0.597537111,0.529,0.016,0,1,Uaca
Gm31409,0,0.577099748,0.433,0.002,0,1,Gm31409
Emilin1,0,0.562871574,0.38,0.014,0,1,Emilin1
Zcchc24,0,0.562042883,0.471,0.025,0,1,Zcchc24
Bdh2,0,0.560390053,0.305,0.003,0,1,Bdh2
Rhod,0,0.54618854,0.342,0.007,0,1,Rhod
Cdkn2c,0,0.538857079,0.374,0.011,0,1,Cdkn2c
Plekhf1,0,0.537091196,0.321,0.011,0,1,Plekhf1
Ggt5,0,0.533607014,0.353,0.004,0,1,Ggt5
Egflam,0,0.53141204,0.321,0.007,0,1,Egflam
Gm36394,0,0.529774639,0.449,0,0,1,Gm36394
Hcar1,0,0.527666753,0.321,0.001,0,1,Hcar1
Rcsd1,0,0.525151847,0.487,0.012,0,1,Rcsd1
Tfap2b,0,0.514047265,0.706,0.008,0,1,Tfap2b
Prrx2,0,0.511182011,0.39,0.009,0,1,Prrx2
Calcrl,0,0.499468997,0.465,0.02,0,1,Calcrl
Msx1,0,0.480201248,0.706,0.002,0,1,Msx1
Ccl19,0,0.477542233,0.545,0.015,0,1,Ccl19
Pdpn,0,0.468549675,0.604,0.008,0,1,Pdpn
Notch2,0,0.449417831,0.706,0.032,0,1,Notch2
Steap3,0,0.420431051,0.481,0.014,0,1,Steap3
Plscr1,0,0.416758967,0.353,0.005,0,1,Plscr1
Musk,0,0.405847275,0.257,0.006,0,1,Musk
Twist1,0,0.39614311,0.46,0.013,0,1,Twist1
Svep1,0,0.393935867,0.38,0.004,0,1,Svep1
Prrx1,0,0.387953636,0.417,0.012,0,1,Prrx1
Tcf7l2,0,0.378211645,0.668,0.027,0,1,Tcf7l2
Gstt3,0,0.37583759,0.289,0.006,0,1,Gstt3
2700046A07Rik,0,0.374208158,0.396,0.003,0,1,2700046A07Rik
Anpep,0,0.35350442,0.679,0.002,0,1,Anpep
Pdgfd,0,0.351730436,0.278,0.007,0,1,Pdgfd
Loxl1,0,0.347852691,0.417,0.009,0,1,Loxl1
Epas1,0,0.344766124,0.599,0.037,0,1,Epas1
Cdh5,0,0.337099924,0.508,0.005,0,1,Cdh5
Foxd2os,0,0.328011624,0.364,0,0,1,Foxd2os
Lef1,0,0.320631366,0.497,0.015,0,1,Lef1
Sdc4,0,0.311669526,0.551,0.02,0,1,Sdc4
Ptrf,0,0.308615557,0.604,0.04,0,1,Ptrf
H2-Q1,0,0.301460655,0.257,0.004,0,1,H2-Q1
Zic5,0,0.288565406,0.358,0.005,0,1,Zic5
Gm33769,0,0.286281491,0.31,0.001,0,1,Gm33769
Gm28703,0,0.277050553,0.251,0.001,0,1,Gm28703
LOC105243928,0,0.272867462,0.278,0.001,0,1,LOC105243928
LOC102633322,0,0.26154772,0.406,0.002,0,1,LOC102633322
Alx4,0,0.258199104,0.321,0.006,0,1,Alx4
Ifitm2,1.34E-303,2.312245677,1,0.154,5.60E-299,1,Ifitm2
Hyal1,1.29E-302,0.556456071,0.267,0.009,5.40E-298,1,Hyal1
Islr,6.40E-299,2.140288003,0.856,0.103,2.68E-294,1,Islr
Pmp22,1.15E-295,1.215442197,0.717,0.068,4.82E-291,1,Pmp22
Kank2,5.61E-295,0.395390793,0.406,0.021,2.35E-290,1,Kank2
Phldb2,6.18E-295,0.891078247,0.599,0.045,2.59E-290,1,Phldb2
Tmem100,2.29E-291,1.378080225,0.513,0.033,9.61E-287,1,Tmem100
Timp3,1.20E-285,2.427329923,0.952,0.142,5.03E-281,1,Timp3
Sned1,1.29E-284,0.538136239,0.455,0.027,5.40E-280,1,Sned1
Tmem204,9.37E-284,1.352554667,0.583,0.045,3.93E-279,1,Tmem204
Ecm2,3.99E-282,0.589076209,0.385,0.019,1.67E-277,1,Ecm2
Selenbp1,4.09E-282,0.873701501,0.54,0.039,1.72E-277,1,Selenbp1
Ahnak,3.70E-281,0.880215044,0.824,0.093,1.55E-276,1,Ahnak
Tmem37,6.33E-280,1.10028725,0.626,0.054,2.65E-275,1,Tmem37
Nupr1,1.73E-279,2.522425916,0.989,0.164,7.27E-275,1,Nupr1
Ptgds,1.78E-275,6.364873034,0.947,0.147,7.47E-271,1,Ptgds
Fkbp10,1.97E-270,0.448805921,0.316,0.013,8.26E-266,1,Fkbp10
Plin3,6.87E-267,0.610633873,0.417,0.024,2.88E-262,1,Plin3
Angptl2,2.23E-264,0.507982289,0.299,0.012,9.35E-260,1,Angptl2
Fzd7,1.24E-262,0.489064215,0.337,0.016,5.19E-258,1,Fzd7
Snx33,3.62E-260,0.310770673,0.251,0.009,1.52E-255,1,Snx33
Itga1,5.54E-259,0.510227687,0.364,0.019,2.32E-254,1,Itga1
Ltbr,3.85E-258,0.404569173,0.364,0.019,1.61E-253,1,Ltbr
Pld1,4.01E-257,0.759741456,0.471,0.032,1.68E-252,1,Pld1
Cpt1a,4.69E-256,0.450871862,0.337,0.016,1.97E-251,1,Cpt1a
Gypc,8.48E-256,1.015511573,0.497,0.036,3.55E-251,1,Gypc
Tenc1,3.52E-253,0.724234809,0.524,0.04,1.48E-248,1,Tenc1
Cmtm7,1.18E-248,0.424632247,0.348,0.018,4.94E-244,1,Cmtm7
Lepr,1.51E-244,1.295012664,0.551,0.047,6.32E-240,1,Lepr
Trim25,5.47E-237,0.388348548,0.31,0.015,2.29E-232,1,Trim25
Apcdd1,5.48E-237,0.869669491,0.551,0.047,2.30E-232,1,Apcdd1
Slco1a4,1.17E-236,0.316187141,0.267,0.011,4.89E-232,1,Slco1a4
Snhg18,1.59E-232,0.49724907,0.503,0.04,6.68E-228,1,Snhg18
Cyp2d22,3.22E-232,0.73710485,0.396,0.025,1.35E-227,1,Cyp2d22
Lgals1,1.44E-231,1.440433425,0.973,0.162,6.03E-227,1,Lgals1
Pdlim2,1.70E-222,0.810472076,0.54,0.048,7.11E-218,1,Pdlim2
Copz2,8.33E-220,1.093808311,0.743,0.101,3.49E-215,1,Copz2
Smo,5.02E-218,0.341571567,0.283,0.013,2.10E-213,1,Smo
Bicc1,5.89E-214,0.907539994,0.668,0.081,2.47E-209,1,Bicc1
A4galt,5.95E-213,0.493061062,0.369,0.023,2.50E-208,1,A4galt
Atp1a2,5.90E-212,3.581706511,0.968,0.212,2.47E-207,1,Atp1a2
Arhgap29,6.12E-212,1.783873107,0.909,0.171,2.56E-207,1,Arhgap29
Tnfsf12,1.17E-210,0.385641405,0.749,0.108,4.92E-206,1,Tnfsf12
Sult1a1,1.13E-209,1.231508504,0.583,0.062,4.73E-205,1,Sult1a1
Clec3b,1.61E-209,0.554100083,0.449,0.036,6.74E-205,1,Clec3b
Ppap2b,7.83E-209,1.184323763,0.813,0.121,3.28E-204,1,Ppap2b
Vamp8,1.74E-207,0.588819314,0.626,0.072,7.31E-203,1,Vamp8
Lgals9,1.74E-203,0.761690065,0.364,0.024,7.31E-199,1,Lgals9
Osr1,6.44E-201,1.033101145,0.54,0.055,2.70E-196,1,Osr1
Adora2b,2.34E-196,0.58896901,0.267,0.013,9.80E-192,1,Adora2b
Thbs1,9.60E-195,0.553954487,0.332,0.021,4.03E-190,1,Thbs1
Apoe,4.30E-194,3.638725169,1,0.27,1.80E-189,1,Apoe
Ndnf,1.53E-193,1.372144617,0.583,0.062,6.43E-189,1,Ndnf
Pros1,2.08E-193,1.137339978,0.529,0.054,8.74E-189,1,Pros1
Rhoj,3.93E-193,0.732043341,0.439,0.036,1.65E-188,1,Rhoj
Nid2,1.54E-190,0.381444862,0.267,0.014,6.45E-186,1,Nid2
Tgfbr3,3.97E-187,1.107771133,0.743,0.115,1.67E-182,1,Tgfbr3
Tagln2,1.62E-186,0.823797805,0.508,0.05,6.80E-182,1,Tagln2
Cald1,5.65E-186,1.468499354,0.898,0.19,2.37E-181,1,Cald1
Tnfsf13os,8.21E-186,0.426879519,0.369,0.027,3.44E-181,1,Tnfsf13os
Cdc42ep1,1.36E-184,0.37497123,0.299,0.017,5.72E-180,1,Cdc42ep1
Serpind1,2.09E-182,1.352887623,0.481,0.048,8.75E-178,1,Serpind1
Fbln1,3.72E-181,0.999773791,0.642,0.085,1.56E-176,1,Fbln1
Anxa1,1.19E-180,0.832382562,0.257,0.013,4.99E-176,1,Anxa1
Tec,3.86E-179,0.600119961,0.337,0.023,1.62E-174,1,Tec
Itgb5,4.52E-177,0.539075523,0.39,0.031,1.90E-172,1,Itgb5
Ndufa4l2,3.32E-176,0.3676265,0.348,0.025,1.39E-171,1,Ndufa4l2
Atp13a5,1.20E-175,0.959049936,0.262,0.014,5.02E-171,1,Atp13a5
Cox6b2,1.46E-174,0.46421215,0.455,0.044,6.12E-170,1,Cox6b2
Slc9a3r1,5.04E-171,0.544012865,0.374,0.029,2.11E-166,1,Slc9a3r1
Msn,2.84E-170,0.310568878,0.316,0.021,1.19E-165,1,Msn
Cdkn1c,1.35E-169,0.912878351,0.62,0.087,5.66E-165,1,Cdkn1c
Lpar1,3.64E-169,1.573561936,0.866,0.19,1.53E-164,1,Lpar1
Cd63,1.17E-168,2.295405373,0.995,0.324,4.90E-164,1,Cd63
Syngr2,2.38E-168,0.648232465,0.412,0.037,9.99E-164,1,Syngr2
Dock6,2.71E-166,0.816750599,0.652,0.095,1.14E-161,1,Dock6
Col5a2,3.69E-162,0.500186199,0.364,0.029,1.55E-157,1,Col5a2
Zfp36l2,3.06E-161,0.61682877,0.561,0.071,1.28E-156,1,Zfp36l2
Ptges,7.86E-160,0.643968367,0.39,0.035,3.30E-155,1,Ptges
Cmtm3,1.74E-159,0.684272962,0.46,0.048,7.31E-155,1,Cmtm3
H2-K1,7.11E-158,1.810805324,0.668,0.107,2.98E-153,1,H2-K1
Nkd1,6.64E-157,0.934025949,0.642,0.1,2.78E-152,1,Nkd1
S100a13,2.53E-156,0.488132182,0.583,0.079,1.06E-151,1,S100a13
Anxa3,2.79E-156,0.709198503,0.262,0.016,1.17E-151,1,Anxa3
Gng5,8.58E-155,0.845627716,0.963,0.313,3.60E-150,1,Gng5
Cxcl12,3.73E-154,2.550789915,0.92,0.275,1.56E-149,1,Cxcl12
Scarf2,1.07E-153,0.523190094,0.487,0.056,4.50E-149,1,Scarf2
Gxylt2,1.29E-153,0.40567398,0.422,0.041,5.41E-149,1,Gxylt2
4930594M22Rik,1.42E-153,0.256261751,0.572,0.079,5.97E-149,1,4930594M22Rik
Itm2a,2.16E-151,2.202127213,0.947,0.302,9.04E-147,1,Itm2a
Sorbs3,3.07E-151,0.492306913,0.358,0.03,1.29E-146,1,Sorbs3
Cmbl,1.35E-150,2.096132855,0.85,0.221,5.67E-146,1,Cmbl
Mill2,3.53E-150,0.352434394,0.326,0.025,1.48E-145,1,Mill2
Wwtr1,3.26E-149,0.610452211,0.471,0.053,1.37E-144,1,Wwtr1
LOC100534389,3.07E-148,0.507179015,0.497,0.061,1.29E-143,1,LOC100534389
Ddr2,7.05E-148,0.808389219,0.508,0.062,2.95E-143,1,Ddr2
Sphk1,4.73E-146,1.109985492,0.54,0.076,1.98E-141,1,Sphk1
Abca8a,6.38E-144,0.496109134,0.251,0.016,2.67E-139,1,Abca8a
Plekho2,1.03E-143,0.260752847,0.278,0.019,4.31E-139,1,Plekho2
Col18a1,1.63E-143,0.339086809,0.337,0.028,6.82E-139,1,Col18a1
Slc7a11,4.25E-139,2.940452491,0.888,0.281,1.78E-134,1,Slc7a11
Svil,5.84E-139,0.716744,0.695,0.129,2.45E-134,1,Svil
Pla2g16,1.51E-138,0.650831268,0.396,0.04,6.35E-134,1,Pla2g16
Gsn,1.91E-136,1.772783765,0.818,0.208,8.00E-132,1,Gsn
Gstm1,7.10E-135,1.697261626,0.936,0.319,2.98E-130,1,Gstm1
Arpc1b,1.02E-134,0.743145346,0.583,0.092,4.29E-130,1,Arpc1b
Fzd6,2.92E-133,0.284987747,0.353,0.033,1.22E-128,1,Fzd6
Gm6209,2.66E-132,0.306911207,0.31,0.026,1.12E-127,1,Gm6209
Kl,1.92E-130,0.542308496,0.358,0.035,8.05E-126,1,Kl
Unc93b1,2.27E-128,0.447458646,0.283,0.022,9.50E-124,1,Unc93b1
Tmem51,3.18E-126,0.480644791,0.278,0.022,1.33E-121,1,Tmem51
Nbl1,5.58E-126,2.060644106,0.979,0.463,2.34E-121,1,Nbl1
Adm,8.78E-125,1.445287432,0.503,0.075,3.68E-120,1,Adm
Bag3,4.69E-124,0.472238272,0.444,0.055,1.96E-119,1,Bag3
Laptm4a,1.35E-120,2.475875061,0.995,0.989,5.66E-116,1,Laptm4a
Ptpn13,4.45E-120,0.46653328,0.433,0.055,1.87E-115,1,Ptpn13
Aldh1a1,3.13E-119,2.182212102,0.727,0.181,1.31E-114,1,Aldh1a1
Rnase4,8.41E-119,0.71563261,0.369,0.041,3.52E-114,1,Rnase4
Fkbp7,2.08E-118,1.266503248,0.754,0.206,8.73E-114,1,Fkbp7
Ftl1,3.20E-117,1.594917403,1,0.997,1.34E-112,1,Ftl1
Dse,1.03E-115,0.686416544,0.727,0.158,4.30E-111,1,Dse
Wnt5a,1.34E-115,0.98491698,0.626,0.12,5.61E-111,1,Wnt5a
Ctgf,2.92E-115,1.819518366,0.813,0.218,1.22E-110,1,Ctgf
Mc5r,5.47E-115,0.619450612,0.267,0.022,2.29E-110,1,Mc5r
Ets1,6.26E-114,0.291927072,0.481,0.069,2.63E-109,1,Ets1
Lrrc32,1.07E-113,0.414139207,0.358,0.04,4.50E-109,1,Lrrc32
Myl12a,5.35E-113,1.991909828,0.989,0.684,2.24E-108,1,Myl12a
Syde1,1.45E-112,0.346145689,0.588,0.101,6.07E-108,1,Syde1
Casp12,2.51E-112,0.382373512,0.251,0.02,1.05E-107,1,Casp12
Mfge8,1.39E-110,0.396503502,0.513,0.078,5.81E-106,1,Mfge8
Suclg2,5.72E-110,0.450695936,0.326,0.034,2.40E-105,1,Suclg2
Ptn,1.96E-109,2.888588832,0.995,0.752,8.23E-105,1,Ptn
Cst3,3.26E-109,1.329959083,1,0.998,1.36E-104,1,Cst3
Itpr2,6.35E-109,0.530330815,0.412,0.054,2.66E-104,1,Itpr2
Tnfaip8,6.77E-109,0.479560526,0.305,0.03,2.84E-104,1,Tnfaip8
Gas1,7.97E-107,0.887758746,0.481,0.076,3.34E-102,1,Gas1
Anxa5,2.63E-105,1.954719535,0.952,0.552,1.10E-100,1,Anxa5
Cd9,7.92E-105,0.803251308,0.353,0.04,3.32E-100,1,Cd9
Rhoc,9.07E-104,0.773546901,0.626,0.143,3.80E-99,1,Rhoc
Pbxip1,9.83E-104,0.329979592,0.337,0.037,4.12E-99,1,Pbxip1
Cyr61,2.42E-103,2.242919572,0.54,0.101,1.01E-98,1,Cyr61
Rab3il1,5.08E-103,0.977920266,0.615,0.139,2.13E-98,1,Rab3il1
Ror1,1.15E-102,0.322924955,0.348,0.041,4.83E-98,1,Ror1
Gpc3,1.33E-102,0.670792862,0.471,0.072,5.57E-98,1,Gpc3
Mob3b,2.95E-101,0.324022152,0.326,0.036,1.24E-96,1,Mob3b
Glul,1.33E-100,1.385231152,0.995,0.829,5.57E-96,1,Glul
Tpm2,9.36E-99,0.642107835,0.588,0.122,3.93E-94,1,Tpm2
Gulp1,1.82E-98,0.46661959,0.31,0.034,7.62E-94,1,Gulp1
Ephx1,2.20E-98,1.384427926,0.754,0.24,9.20E-94,1,Ephx1
Nr2f2,7.96E-98,0.942406245,0.909,0.293,3.34E-93,1,Nr2f2
Atp1b3,3.86E-96,1.698315832,0.963,0.929,1.62E-91,1,Atp1b3
Adam12,4.18E-96,0.344727711,0.316,0.036,1.75E-91,1,Adam12
Eya1,9.67E-96,0.534800534,0.503,0.087,4.05E-91,1,Eya1
Pdlim4,3.17E-95,0.406396496,0.31,0.035,1.33E-90,1,Pdlim4
B2m,1.15E-94,2.058947828,0.984,0.914,4.82E-90,1,B2m
Thbs2,3.81E-94,0.81432342,0.561,0.11,1.60E-89,1,Thbs2
Pxmp2,9.12E-94,0.26395342,0.273,0.028,3.82E-89,1,Pxmp2
Isyna1,2.15E-93,2.132601019,0.92,0.599,9.03E-89,1,Isyna1
Fibin,2.43E-93,1.187649425,0.455,0.078,1.02E-88,1,Fibin
Pcca,2.60E-93,1.724242497,0.92,0.574,1.09E-88,1,Pcca
Zfhx3,5.96E-93,0.486777576,0.583,0.126,2.50E-88,1,Zfhx3
Nde1,1.69E-92,0.53908288,0.305,0.034,7.08E-88,1,Nde1
Myof,6.31E-92,0.326626557,0.273,0.028,2.64E-87,1,Myof
1810011O10Rik,3.61E-91,0.721266756,0.267,0.027,1.51E-86,1,1810011O10Rik
Akap12,6.83E-91,0.99717261,0.733,0.221,2.86E-86,1,Akap12
Hspb8,4.58E-90,0.396937796,0.316,0.038,1.92E-85,1,Hspb8
Itm2b,1.13E-89,0.891346275,1,1,4.72E-85,1,Itm2b
Acaa2,1.81E-89,1.06447491,0.604,0.149,7.57E-85,1,Acaa2
S100a1,2.09E-89,0.983266097,0.668,0.182,8.77E-85,1,S100a1
Efemp2,7.21E-89,1.20440453,0.706,0.222,3.02E-84,1,Efemp2
Abca1,4.99E-88,0.834709964,0.524,0.104,2.09E-83,1,Abca1
Ramp2,9.87E-88,1.4276212,0.829,0.373,4.14E-83,1,Ramp2
Ctsl,4.35E-87,1.475202811,0.968,0.958,1.82E-82,1,Ctsl
Ctsk,7.98E-87,1.103163,0.572,0.136,3.34E-82,1,Ctsk
Zbtb20,7.84E-86,1.147851573,0.866,0.313,3.28E-81,1,Zbtb20
